SeqID,Genome_id,Gene_id,prot_id,Transporter_id,Transporter_level1,Transporter_level2,Transporter_level3,Transporter_level4,Transporter_level5
Aaoar1_339806,Aaoar1,e_gw1.1.1375.1,339806,2.A.19.2.8,2,2.A,2.A.19,2.A.19.2,2.A.19.2.8
Aaoar1_361636,Aaoar1,estExt_Genewise1.C_1_t20480,361636,2.A.7.12.16,2,2.A,2.A.7,2.A.7.12,2.A.7.12.16
Aaoar1_361641,Aaoar1,estExt_Genewise1.C_1_t20485,361641,3.A.2.2.3,3,3.A,3.A.2,3.A.2.2,3.A.2.2.3
Aaoar1_13956,Aaoar1,CE13955_24256,13956,9.B.115.1.2,9,9.B,9.B.115,9.B.115.1,9.B.115.1.2
Aaoar1_457078,Aaoar1,gm1.656_g,457078,1.A.17.1.17,1,1.A,1.A.17,1.A.17.1,1.A.17.1.17
Aaoar1_338739,Aaoar1,e_gw1.1.1977.1,338739,2.A.1.1.70,2,2.A,2.A.1,2.A.1.1,2.A.1.1.70
Aaoar1_14303,Aaoar1,CE14302_4136,14303,3.A.1.201.38,3,3.A,3.A.1,3.A.1.201,3.A.1.201.38
Aaoar1_487579,Aaoar1,estExt_Genemark1.C_1_t20176,487579,3.D.10.1.7,3,3.D,3.D.10,3.D.10.1,3.D.10.1.7
Aaoar1_14582,Aaoar1,CE14581_21451,14582,9.B.115.1.2,9,9.B,9.B.115,9.B.115.1,9.B.115.1.2
Aaoar1_457106,Aaoar1,gm1.684_g,457106,3.A.3.9.2,3,3.A,3.A.3,3.A.3.9,3.A.3.9.2
Aaoar1_429930,Aaoar1,fgenesh1_pm.1_#_419,429930,3.A.1.208.3,3,3.A,3.A.1,3.A.1.208,3.A.1.208.3
Aaoar1_383159,Aaoar1,estExt_Genewise1Plus.C_1_t30071,383159,2.A.38.2.2,2,2.A,2.A.38,2.A.38.2,2.A.38.2.2
Aaoar1_416797,Aaoar1,fgenesh1_kg.1_#_745_#_Locus7269v3rpkm0.00_PRE,416797,3.A.28.1.2,3,3.A,3.A.28,3.A.28.1,3.A.28.1.2
Aaoar1_404190,Aaoar1,fgenesh1_pg.1_#_734,404190,9.B.313.1.8,9,9.B,9.B.313,9.B.313.1,9.B.313.1.8
Aaoar1_469912,Aaoar1,MIX782_12_14,469912,3.A.1.205.30,3,3.A,3.A.1,3.A.1.205,3.A.1.205.30
Aaoar1_446239,Aaoar1,estExt_fgenesh1_pg.C_1_t20245,446239,2.A.1.1.39,2,2.A,2.A.1,2.A.1.1,2.A.1.1.39
Aaoar1_429977,Aaoar1,fgenesh1_pm.1_#_466,429977,2.A.1.16.4,2,2.A,2.A.1,2.A.1.16,2.A.1.16.4
Aaoar1_469991,Aaoar1,MIX861_18109_82,469991,9.B.12.2.1,9,9.B,9.B.12,9.B.12.2,9.B.12.2.1
Aaoar1_404229,Aaoar1,fgenesh1_pg.1_#_773,404229,9.B.188.1.2,9,9.B,9.B.188,9.B.188.1,9.B.188.1.2
Aaoar1_339088,Aaoar1,e_gw1.1.180.1,339088,2.A.1.1.38,2,2.A,2.A.1,2.A.1.1,2.A.1.1.38
Aaoar1_457200,Aaoar1,gm1.778_g,457200,2.A.1.1.125,2,2.A,2.A.1,2.A.1.1,2.A.1.1.125
Aaoar1_457202,Aaoar1,gm1.780_g,457202,2.A.20.2.1,2,2.A,2.A.20,2.A.20.2,2.A.20.2.1
Aaoar1_17425,Aaoar1,CE17424_1706,17425,2.A.94.1.1,2,2.A,2.A.94,2.A.94.1,2.A.94.1.1
Aaoar1_17795,Aaoar1,CE17794_5341,17795,2.A.43.2.13,2,2.A,2.A.43,2.A.43.2,2.A.43.2.13
Aaoar1_338136,Aaoar1,e_gw1.1.558.1,338136,2.A.1.16.7,2,2.A,2.A.1,2.A.1.16,2.A.1.16.7
Aaoar1_383304,Aaoar1,estExt_Genewise1Plus.C_1_t30234,383304,5.B.1.1.9,5,5.B,5.B.1,5.B.1.1,5.B.1.1.9
Aaoar1_487734,Aaoar1,estExt_Genemark1.C_1_t20351,487734,2.A.1.2.86,2,2.A,2.A.1,2.A.1.2,2.A.1.2.86
Aaoar1_18669,Aaoar1,CE18668_2691,18669,2.A.39.3.10,2,2.A,2.A.39,2.A.39.3,2.A.39.3.10
Aaoar1_416965,Aaoar1,fgenesh1_kg.1_#_913_#_Locus2908v1rpkm46.30,416965,1.I.1.1.2,1,1.I,1.I.1,1.I.1.1,1.I.1.1.2
Aaoar1_339587,Aaoar1,e_gw1.1.1404.1,339587,2.A.1.13.27,2,2.A,2.A.1,2.A.1.13,2.A.1.13.27
Aaoar1_19386,Aaoar1,CE19385_1186,19386,3.A.1.205.6,3,3.A,3.A.1,3.A.1.205,3.A.1.205.6
Aaoar1_338176,Aaoar1,e_gw1.1.510.1,338176,2.A.20.2.1,2,2.A,2.A.20,2.A.20.2,2.A.20.2.1
Aaoar1_383392,Aaoar1,estExt_Genewise1Plus.C_1_t30324,383392,2.A.1.14.4,2,2.A,2.A.1,2.A.1.14,2.A.1.14.4
Aaoar1_487788,Aaoar1,estExt_Genemark1.C_1_t20411,487788,2.A.1.14.11,2,2.A,2.A.1,2.A.1.14,2.A.1.14.11
Aaoar1_20087,Aaoar1,CE20086_1151,20087,2.A.20.2.1,2,2.A,2.A.20,2.A.20.2,2.A.20.2.1
Aaoar1_404407,Aaoar1,fgenesh1_pg.1_#_951,404407,2.A.43.2.7,2,2.A,2.A.43,2.A.43.2,2.A.43.2.7
Aaoar1_20861,Aaoar1,CE20860_1618,20861,2.A.1.2.111,2,2.A,2.A.1,2.A.1.2,2.A.1.2.111
Aaoar1_383497,Aaoar1,estExt_Genewise1Plus.C_1_t30443,383497,2.A.1.2.33,2,2.A,2.A.1,2.A.1.2,2.A.1.2.33
Aaoar1_338823,Aaoar1,e_gw1.1.576.1,338823,2.A.17.2.1,2,2.A,2.A.17,2.A.17.2,2.A.17.2.1
Aaoar1_487870,Aaoar1,estExt_Genemark1.C_1_t30013,487870,2.A.7.28.12,2,2.A,2.A.7,2.A.7.28,2.A.7.28.12
Aaoar1_487875,Aaoar1,estExt_Genemark1.C_1_t30018,487875,9.B.313.1.3,9,9.B,9.B.313,9.B.313.1,9.B.313.1.3
Aaoar1_383516,Aaoar1,estExt_Genewise1Plus.C_1_t30463,383516,1.A.11.3.3,1,1.A,1.A.11,1.A.11.3,1.A.11.3.3
Aaoar1_338135,Aaoar1,e_gw1.1.596.1,338135,2.A.1.1.119,2,2.A,2.A.1,2.A.1.1,2.A.1.1.119
Aaoar1_417133,Aaoar1,fgenesh1_kg.1_#_1081_#_Locus5583v1rpkm17.29,417133,2.A.1.1.8,2,2.A,2.A.1,2.A.1.1,2.A.1.1.8
Aaoar1_470275,Aaoar1,MIX1145_59_95,470275,2.A.1.1.73,2,2.A,2.A.1,2.A.1.1,2.A.1.1.73
Aaoar1_417145,Aaoar1,fgenesh1_kg.1_#_1093_#_Locus10117v1rpkm2.98,417145,9.B.313.1.1,9,9.B,9.B.313,9.B.313.1,9.B.313.1.1
Aaoar1_337364,Aaoar1,e_gw1.1.1796.1,337364,2.A.1.14.3,2,2.A,2.A.1,2.A.1.14,2.A.1.14.3
Aaoar1_417155,Aaoar1,fgenesh1_kg.1_#_1103_#_Locus14530v1rpkm0.82,417155,1.G.20.2.1,1,1.G,1.G.20,1.G.20.2,1.G.20.2.1
Aaoar1_340019,Aaoar1,e_gw1.1.2369.1,340019,2.A.1.1.138,2,2.A,2.A.1,2.A.1.1,2.A.1.1.138
Aaoar1_417162,Aaoar1,fgenesh1_kg.1_#_1110_#_Locus2825v1rpkm47.87,417162,9.B.178.1.4,9,9.B,9.B.178,9.B.178.1,9.B.178.1.4
Aaoar1_22349,Aaoar1,CE22348_761,22349,2.A.1.13.4,2,2.A,2.A.1,2.A.1.13,2.A.1.13.4
Aaoar1_383601,Aaoar1,estExt_Genewise1Plus.C_1_t40064,383601,1.C.113.1.9,1,1.C,1.C.113,1.C.113.1,1.C.113.1.9
Aaoar1_417204,Aaoar1,fgenesh1_kg.1_#_1152_#_Locus8065v1rpkm6.69,417204,2.A.3.10.3,2,2.A,2.A.3,2.A.3.10,2.A.3.10.3
Aaoar1_338419,Aaoar1,e_gw1.1.406.1,338419,2.A.1.16.8,2,2.A,2.A.1,2.A.1.16,2.A.1.16.8
Aaoar1_430189,Aaoar1,fgenesh1_pm.1_#_678,430189,2.A.1.1.10,2,2.A,2.A.1,2.A.1.1,2.A.1.1.10
Aaoar1_334127,Aaoar1,gw1.1.2333.1,334127,1.C.113.1.9,1,1.C,1.C.113,1.C.113.1,1.C.113.1.9
Aaoar1_430219,Aaoar1,fgenesh1_pm.1_#_708,430219,2.A.1.16.8,2,2.A,2.A.1,2.A.1.16,2.A.1.16.8
Aaoar1_446593,Aaoar1,estExt_fgenesh1_pg.C_1_t30156,446593,2.A.1.2.96,2,2.A,2.A.1,2.A.1.2,2.A.1.2.96
Aaoar1_417258,Aaoar1,fgenesh1_kg.1_#_1206_#_Locus10862v2rpkm1.65,417258,2.A.1.19.48,2,2.A,2.A.1,2.A.1.19,2.A.1.19.48
Aaoar1_438625,Aaoar1,estExt_fgenesh1_pm.C_1_t20218,438625,2.A.18.4.1,2,2.A,2.A.18,2.A.18.4,2.A.18.4.1
Aaoar1_417276,Aaoar1,fgenesh1_kg.1_#_1224_#_Locus10739v1rpkm2.35,417276,2.A.1.14.11,2,2.A,2.A.1,2.A.1.14,2.A.1.14.11
Aaoar1_438646,Aaoar1,estExt_fgenesh1_pm.C_1_t20240,438646,2.A.1.14.11,2,2.A,2.A.1,2.A.1.14,2.A.1.14.11
Aaoar1_457624,Aaoar1,gm1.1202_g,457624,2.A.1.14.19,2,2.A,2.A.1,2.A.1.14,2.A.1.14.19
Aaoar1_383841,Aaoar1,estExt_Genewise1Plus.C_1_t40324,383841,2.A.1.2.86,2,2.A,2.A.1,2.A.1.2,2.A.1.2.86
Aaoar1_430264,Aaoar1,fgenesh1_pm.1_#_753,430264,3.A.1.205.11,3,3.A,3.A.1,3.A.1.205,3.A.1.205.11
Aaoar1_470478,Aaoar1,MIX1348_190_30,470478,2.A.1.1.125,2,2.A,2.A.1,2.A.1.1,2.A.1.1.125
Aaoar1_338097,Aaoar1,e_gw1.1.499.1,338097,2.A.1.48.4,2,2.A,2.A.1,2.A.1.48,2.A.1.48.4
Aaoar1_457664,Aaoar1,gm1.1242_g,457664,2.A.1.2.112,2,2.A,2.A.1,2.A.1.2,2.A.1.2.112
Aaoar1_457665,Aaoar1,gm1.1243_g,457665,2.A.1.2.112,2,2.A,2.A.1,2.A.1.2,2.A.1.2.112
Aaoar1_362490,Aaoar1,estExt_Genewise1.C_1_t40417,362490,2.A.1.14.36,2,2.A,2.A.1,2.A.1.14,2.A.1.14.36
Aaoar1_417379,Aaoar1,fgenesh1_kg.1_#_1327_#_Locus2199v1rpkm62.57,417379,2.A.1.2.114,2,2.A,2.A.1,2.A.1.2,2.A.1.2.114
Aaoar1_417390,Aaoar1,fgenesh1_kg.1_#_1338_#_Locus4965v1rpkm21.66,417390,9.B.142.18.1,9,9.B,9.B.142,9.B.142.18,9.B.142.18.1
Aaoar1_417432,Aaoar1,fgenesh1_kg.1_#_1380_#_Locus698v1rpkm205.29,417432,4.D.3.2.1,4,4.D,4.D.3,4.D.3.2,4.D.3.2.1
Aaoar1_457773,Aaoar1,gm1.1351_g,457773,9.B.313.1.1,9,9.B,9.B.313,9.B.313.1,9.B.313.1.1
Aaoar1_336547,Aaoar1,gw1.1.3244.1,336547,9.A.26.1.1,9,9.A,9.A.26,9.A.26.1,9.A.26.1.1
Aaoar1_384193,Aaoar1,estExt_Genewise1Plus.C_1_t50193,384193,5.B.2.3.5,5,5.B,5.B.2,5.B.2.3,5.B.2.3.5
Aaoar1_31790,Aaoar1,CE31789_5559,31790,1.H.3.2.4,1,1.H,1.H.3,1.H.3.2,1.H.3.2.4
Aaoar1_457822,Aaoar1,gm1.1400_g,457822,2.A.1.9.2,2,2.A,2.A.1,2.A.1.9,2.A.1.9.2
Aaoar1_384225,Aaoar1,estExt_Genewise1Plus.C_1_t50226,384225,1.H.1.7.2,1,1.H,1.H.1,1.H.1.7,1.H.1.7.2
Aaoar1_339953,Aaoar1,e_gw1.1.2595.1,339953,8.A.114.1.5,8,8.A,8.A.114,8.A.114.1,8.A.114.1.5
Aaoar1_488260,Aaoar1,estExt_Genemark1.C_1_t30437,488260,2.A.18.4.1,2,2.A,2.A.18,2.A.18.4,2.A.18.4.1
Aaoar1_362862,Aaoar1,estExt_Genewise1.C_1_t50309,362862,1.A.17.5.5,1,1.A,1.A.17,1.A.17.5,1.A.17.5.5
Aaoar1_384327,Aaoar1,estExt_Genewise1Plus.C_1_t50334,384327,3.A.1.206.2,3,3.A,3.A.1,3.A.1.206,3.A.1.206.2
Aaoar1_362922,Aaoar1,estExt_Genewise1.C_1_t50378,362922,3.A.1.204.9,3,3.A,3.A.1,3.A.1.204,3.A.1.204.9
Aaoar1_339878,Aaoar1,e_gw1.1.1242.1,339878,2.A.1.48.4,2,2.A,2.A.1,2.A.1.48,2.A.1.48.4
Aaoar1_339235,Aaoar1,e_gw1.1.496.1,339235,2.A.1.13.4,2,2.A,2.A.1,2.A.1.13,2.A.1.13.4
Aaoar1_417640,Aaoar1,fgenesh1_kg.1_#_1588_#_Locus1022v1rpkm141.92,417640,3.E.1.4.3,3,3.E,3.E.1,3.E.1.4,3.E.1.4.3
Aaoar1_417643,Aaoar1,fgenesh1_kg.1_#_1591_#_Locus4373v3rpkm8.40,417643,2.A.5.1.14,2,2.A,2.A.5,2.A.5.1,2.A.5.1.14
Aaoar1_457918,Aaoar1,gm1.1496_g,457918,2.A.1.1.119,2,2.A,2.A.1,2.A.1.1,2.A.1.1.119
Aaoar1_384437,Aaoar1,estExt_Genewise1Plus.C_1_t50450,384437,2.A.1.2.78,2,2.A,2.A.1,2.A.1.2,2.A.1.2.78
Aaoar1_438867,Aaoar1,estExt_fgenesh1_pm.C_1_t20472,438867,2.A.1.13.14,2,2.A,2.A.1,2.A.1.13,2.A.1.13.14
Aaoar1_338123,Aaoar1,e_gw1.1.1113.1,338123,1.A.1.7.9,1,1.A,1.A.1,1.A.1.7,1.A.1.7.9
Aaoar1_471024,Aaoar1,MIX1894_448_67,471024,2.A.1.2.35,2,2.A,2.A.1,2.A.1.2,2.A.1.2.35
Aaoar1_404967,Aaoar1,fgenesh1_pg.1_#_1511,404967,9.A.27.1.6,9,9.A,9.A.27,9.A.27.1,9.A.27.1.6
Aaoar1_363083,Aaoar1,estExt_Genewise1.C_1_t60046,363083,1.A.17.5.8,1,1.A,1.A.17,1.A.17.5,1.A.17.5.8
Aaoar1_471114,Aaoar1,MIX1984_9672_89,471114,9.B.105.3.2,9,9.B,9.B.105,9.B.105.3,9.B.105.3.2
Aaoar1_404981,Aaoar1,fgenesh1_pg.1_#_1525,404981,1.H.1.4.3,1,1.H,1.H.1,1.H.1.4,1.H.1.4.3
Aaoar1_417727,Aaoar1,fgenesh1_kg.1_#_1675_#_Locus7786v1rpkm7.46,417727,2.A.1.2.113,2,2.A,2.A.1,2.A.1.2,2.A.1.2.113
Aaoar1_339682,Aaoar1,e_gw1.1.1061.1,339682,2.A.121.2.6,2,2.A,2.A.121,2.A.121.2,2.A.121.2.6
Aaoar1_339614,Aaoar1,e_gw1.1.411.1,339614,2.A.21.6.5,2,2.A,2.A.21,2.A.21.6,2.A.21.6.5
Aaoar1_458019,Aaoar1,gm1.1597_g,458019,2.A.1.13.27,2,2.A,2.A.1,2.A.1.13,2.A.1.13.27
Aaoar1_337673,Aaoar1,e_gw1.1.2427.1,337673,2.A.1.1.140,2,2.A,2.A.1,2.A.1.1,2.A.1.1.140
Aaoar1_338463,Aaoar1,e_gw1.1.1452.1,338463,1.A.8.6.4,1,1.A,1.A.8,1.A.8.6,1.A.8.6.4
Aaoar1_471296,Aaoar1,MIX2166_10_47,471296,2.A.1.14.11,2,2.A,2.A.1,2.A.1.14,2.A.1.14.11
Aaoar1_417836,Aaoar1,fgenesh1_kg.1_#_1784_#_Locus2230v1rpkm61.92,417836,9.B.142.3.17,9,9.B,9.B.142,9.B.142.3,9.B.142.3.17
Aaoar1_417845,Aaoar1,fgenesh1_kg.1_#_1793_#_Locus3906v1rpkm31.98,417845,9.B.142.5.6,9,9.B,9.B.142,9.B.142.5,9.B.142.5.6
Aaoar1_417850,Aaoar1,fgenesh1_kg.1_#_1798_#_Locus4491v1rpkm26.05,417850,2.A.37.4.1,2,2.A,2.A.37,2.A.37.4,2.A.37.4.1
Aaoar1_471381,Aaoar1,MIX2251_22_45,471381,3.A.1.205.32,3,3.A,3.A.1,3.A.1.205,3.A.1.205.32
Aaoar1_458112,Aaoar1,gm1.1690_g,458112,9.A.26.1.1,9,9.A,9.A.26,9.A.26.1,9.A.26.1.1
Aaoar1_313329,Aaoar1,gw1.1.128.1,313329,2.A.77.1.2,2,2.A,2.A.77,2.A.77.1,2.A.77.1.2
Aaoar1_488495,Aaoar1,estExt_Genemark1.C_1_t40199,488495,3.A.3.9.8,3,3.A,3.A.3,3.A.3.9,3.A.3.9.8
Aaoar1_405133,Aaoar1,fgenesh1_pg.1_#_1677,405133,2.A.96.1.3,2,2.A,2.A.96,2.A.96.1,2.A.96.1.3
Aaoar1_417892,Aaoar1,fgenesh1_kg.1_#_1840_#_Locus711v1rpkm201.84,417892,8.A.61.1.1,8,8.A,8.A.61,8.A.61.1,8.A.61.1.1
Aaoar1_417902,Aaoar1,fgenesh1_kg.1_#_1850_#_Locus7705v2rpkm2.06,417902,2.A.1.2.46,2,2.A,2.A.1,2.A.1.2,2.A.1.2.46
Aaoar1_417911,Aaoar1,fgenesh1_kg.1_#_1859_#_Locus2550v1rpkm53.40,417911,2.A.43.1.2,2,2.A,2.A.43,2.A.43.1,2.A.43.1.2
Aaoar1_384862,Aaoar1,estExt_Genewise1Plus.C_1_t60421,384862,2.A.51.1.9,2,2.A,2.A.51,2.A.51.1,2.A.51.1.9
Aaoar1_41508,Aaoar1,CE41507_26652,41508,9.B.56.2.1,9,9.B,9.B.56,9.B.56.2,9.B.56.2.1
Aaoar1_439026,Aaoar1,estExt_fgenesh1_pm.C_1_t30145,439026,9.B.313.1.2,9,9.B,9.B.313,9.B.313.1,9.B.313.1.2
Aaoar1_417943,Aaoar1,fgenesh1_kg.1_#_1891_#_Locus2876v1rpkm46.93,417943,2.A.1.7.25,2,2.A,2.A.1,2.A.1.7,2.A.1.7.25
Aaoar1_458170,Aaoar1,gm1.1748_g,458170,1.A.111.1.2,1,1.A,1.A.111,1.A.111.1,1.A.111.1.2
Aaoar1_42282,Aaoar1,CE42281_1790,42282,3.A.3.1.7,3,3.A,3.A.3,3.A.3.1,3.A.3.1.7
Aaoar1_43662,Aaoar1,CE43661_5379,43662,9.B.143.5.3,9,9.B,9.B.143,9.B.143.5,9.B.143.5.3
Aaoar1_439074,Aaoar1,estExt_fgenesh1_pm.C_1_t30197,439074,2.A.1.2.86,2,2.A,2.A.1,2.A.1.2,2.A.1.2.86
Aaoar1_488598,Aaoar1,estExt_Genemark1.C_1_t40314,488598,2.A.1.1.83,2,2.A,2.A.1,2.A.1.1,2.A.1.1.83
