	Genome_id	Species	Assembly_Length	Gene_number	Status	Publish_link	TaxID	superkingdom	kingdom	phylum	class	order	family	genus	species	taxonomy	Unnamed: 0	jrk_template	COMMENT on genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
10	Agabi_varbur_1	Agaricus bisporus	32,614,401	11,289	published	https://www.ncbi.nlm.nih.gov/pubmed/23045686	5341.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus bisporus	8090.0	jrk00150		soil_saprotroph					soil		non-aquatic			filamentous_mycelium	agaricoid	gills				
11	Agrped1	Agrocybe pediades	45,056,484	17,281	published	https://www.ncbi.nlm.nih.gov/pubmed/33211093	84607.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe pediades	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Agrocybe;s__Agrocybe pediades	8591.0	jrk00157		soil_saprotroph		dung_saprotroph_some_species			soil		non-aquatic			filamentous_mycelium	agaricoid	gills				
12	Altalt1	Alternaria alternata	33,441,249	13,086	published	https://www.ncbi.nlm.nih.gov/pubmed/34893598	5599.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria alternata	4042.0	jrk00252		plant_pathogen	litter_saprotroph		foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	soft_rot	partly_aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
13	Altal1	Alternaria alternata	32,990,834	13,469	published	https://www.ncbi.nlm.nih.gov/pubmed/27434633	5599.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria alternata	4042.0	jrk00252		plant_pathogen	litter_saprotroph		foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	soft_rot	partly_aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
14	Altbr1	Alternaria brassicicola	31,974,449	10,688	published	https://www.ncbi.nlm.nih.gov/pubmed/23236275	29001.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria brassicicola	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria brassicicola	4042.0	jrk00252		plant_pathogen	litter_saprotroph		foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	soft_rot	partly_aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
15	Altro1	Alternaria rosae	33,831,682	12,640	published	https://www.ncbi.nlm.nih.gov/pubmed/34893598	1187941.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria rosae	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria rosae	4042.0	jrk00252		plant_pathogen	litter_saprotroph		foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	soft_rot	partly_aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
16	Amamu1	Amanita muscaria	40,699,759	18,153	published	https://www.ncbi.nlm.nih.gov/pubmed/25706625	41956.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita muscaria	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita muscaria	18.0	jrk00264		ectomycorrhizal							non-aquatic			filamentous_mycelium	agaricoid	gills	contact	/amanita		
17	Amarub1	Amanita rubescens	76,593,165	16,076	published	https://www.ncbi.nlm.nih.gov/pubmed/33046698	71933.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita rubescens	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita rubescens	18.0	jrk00264		ectomycorrhizal							non-aquatic			filamentous_mycelium	agaricoid	gills	contact	/amanita		
18	Amath1	Amanita thiersii	33,689,220	10,354	published	https://www.ncbi.nlm.nih.gov/pubmed/24923322	235537.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita thiersii	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita thiersii	18.0	jrk00264		ectomycorrhizal							non-aquatic			filamentous_mycelium	agaricoid	gills	contact	/amanita		
19	Ambph1	Ambrosiozyma philentoma	17,710,905	6,975	published	https://www.ncbi.nlm.nih.gov/pubmed/29760453	43984.0	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Ambrosiozyma	Ambrosiozyma philentoma	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__;g__Ambrosiozyma;s__Ambrosiozyma philentoma	6379.0	jrk00285		wood_saprotroph	nectar/tap_saprotroph				wood,sugar-rich_substrates	soft_rot	partly_aquatic	arthropod-associated		yeast	none	none				
20	Amnli1	Amniculicola lignicola	49,576,578	15,590	published	https://www.ncbi.nlm.nih.gov/pubmed/32206138	455074.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Amniculicola	Amniculicola lignicola	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Amniculicolaceae;g__Amniculicola;s__Amniculicola lignicola	3627.0	jrk00299		wood_saprotroph					wood		freshwater			filamentous_mycelium						
21	Amore1	Amorphotheca resinae	28,632,928	9,642	published	https://www.ncbi.nlm.nih.gov/pubmed/29315638	5101.0	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Amorphothecaceae	Amorphotheca	Amorphotheca resinae	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Amorphothecaceae;g__Amorphotheca;s__Amorphotheca resinae	804.0	jrk00309		unspecified_saprotroph		extremophile_hydrocarbon-rich_substrates_(fuel)			hydrocarbon-rich_substrates_(fuel)		partly_aquatic			filamentous_mycelium						
22	Ampqui1	Ampelomyces quisqualis	36,811,257	11,144	published	https://www.ncbi.nlm.nih.gov/pubmed/32206138	50730.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces	Ampelomyces quisqualis	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Ampelomyces;s__Ampelomyces quisqualis	3966.0	jrk00311		plant_pathogen	litter_saprotroph	mycoparasite_some_species	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic		Erysiphaceae	filamentous_mycelium						
23	Amyenc1	Amylocarpus encephaloides	46,286,790	11,869	published	https://www.ncbi.nlm.nih.gov/pubmed/34372938	45428.0	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales		Amylocarpus	Amylocarpus encephaloides	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__;g__Amylocarpus;s__Amylocarpus encephaloides	5745.0	jrk00345		wood_saprotroph					wood	soft_rot	marine			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
24	Amylap1_1	Amylocystis lapponica	35,500,685	11,559	published	https://www.ncbi.nlm.nih.gov/pubmed/33538380	202700.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Amylocystis	Amylocystis lapponica	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Dacryobolaceae;g__Amylocystis;s__Amylocystis lapponica	9009.0	jrk00348		wood_saprotroph					wood	brown_rot	non-aquatic			filamentous_mycelium	polyporoid	poroid				
25	Amycha1	Amylostereum chailletii	38,204,724	14,750	published	https://www.ncbi.nlm.nih.gov/pubmed/34861049	55340.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Amylostereum	Amylostereum chailletii	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Stereaceae;g__Amylostereum;s__Amylostereum chailletii	9375.0	jrk00359		wood_saprotroph					wood	white_rot	non-aquatic			filamentous_mycelium	corticioid	smooth				
26	Anasp1	Anaeromyces robustus	71,685,009	12,832	published	https://www.ncbi.nlm.nih.gov/pubmed/28555641	1754192.0	Eukaryota	Fungi	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Anaeromyces	Anaeromyces robustus	k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Anaeromyces;s__Anaeromyces robustus	10386.0	jrk09912		animal_endosymbiont	litter_saprotroph	anaerobic_gut_fungus_decomposing_ingested_plant_biomass			leaf/fruit/seed		non-aquatic	animal_endosymbiont		zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
27	Annbov1	Annulohypoxylon bovei	41,758,719	11,202	published	https://www.ncbi.nlm.nih.gov/pubmed/34797921	326616.0	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon bovei	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hypoxylaceae;g__Annulohypoxylon;s__Annulohypoxylon bovei	7916.0	jrk00413		wood_saprotroph	foliar_endophyte		foliar_endophyte		wood,leaf/fruit/seed		partly_aquatic		angiosperms	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
28	Annmae1	Annulohypoxylon maeteangense	38,245,008	11,000	published	https://www.ncbi.nlm.nih.gov/pubmed/34797921	1927788.0	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon maeteangense	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hypoxylaceae;g__Annulohypoxylon;s__Annulohypoxylon maeteangense	7916.0	jrk00413		wood_saprotroph	foliar_endophyte		foliar_endophyte		wood,leaf/fruit/seed		partly_aquatic		angiosperms	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
29	Annmin1	Annulohypoxylon minutellum	35,660,783	10,913	published	https://www.ncbi.nlm.nih.gov/pubmed/34797921	1955266.0	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Jackrogersella	Jackrogersella minutella	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hypoxylaceae;g__Jackrogersella;s__Jackrogersella minutella	7924.0	jrk04204		wood_saprotroph					wood		non-aquatic		Betulaceae,Fagaceae	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
30	Annmor1	Annulohypoxylon moriforme	42,658,955	11,683	published	https://www.ncbi.nlm.nih.gov/pubmed/34797921	326622.0	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon moriforme	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hypoxylaceae;g__Annulohypoxylon;s__Annulohypoxylon moriforme	7916.0	jrk00413		wood_saprotroph	foliar_endophyte		foliar_endophyte		wood,leaf/fruit/seed		partly_aquatic		angiosperms	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
31	Annnit1	Annulohypoxylon nitens	38,537,808	11,873	published	https://www.ncbi.nlm.nih.gov/pubmed/34797921	326626.0	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon nitens	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hypoxylaceae;g__Annulohypoxylon;s__Annulohypoxylon nitens	7916.0	jrk00413		wood_saprotroph	foliar_endophyte		foliar_endophyte		wood,leaf/fruit/seed		partly_aquatic		angiosperms	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
32	Annsty1	Annulohypoxylon stygium	38,544,935	11,880	published	https://www.ncbi.nlm.nih.gov/pubmed/34797921	326628.0	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon stygium	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hypoxylaceae;g__Annulohypoxylon;s__Annulohypoxylon stygium	7916.0	jrk00413		wood_saprotroph	foliar_endophyte		foliar_endophyte		wood,leaf/fruit/seed		partly_aquatic		angiosperms	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
33	Anntru1	Annulohypoxylon truncatum	38,067,699	11,151	published	https://www.ncbi.nlm.nih.gov/pubmed/34797921	327061.0	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon truncatum	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hypoxylaceae;g__Annulohypoxylon;s__Annulohypoxylon truncatum	7916.0	jrk00413		wood_saprotroph	foliar_endophyte		foliar_endophyte		wood,leaf/fruit/seed		partly_aquatic		angiosperms	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
34	Antlo1	Antonospora locustae	6,074,860	2,606	published	https://www.ncbi.nlm.nih.gov/pubmed/15186746	278021.0	Eukaryota	Fungi	Microsporidia				Antonospora	Antonospora locustae	k__Fungi;p__Microsporidia;c__;o__;f__;g__Antonospora;s__Antonospora locustae	10721.0	jrk00455		animal_parasite		obligate_animal_parasite	no_endophytic_capacity					animal_parasite		unicellular-aflagellate_(non-yeast)	none	none				
35	Antser1	Antrodia serialis	66,694,225	17,406	published	https://www.ncbi.nlm.nih.gov/pubmed/33538380	139415.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Antrodia	Antrodia serialis	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Antrodia;s__Antrodia serialis	9018.0	jrk00456		wood_saprotroph					wood	brown_rot	non-aquatic			filamentous_mycelium	corticioid	poroid				
36	Aplpr1	Aplosporella prunicola	32,818,685	12,579	published	https://www.ncbi.nlm.nih.gov/pubmed/32206138	462254.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella prunicola	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae;g__Aplosporella;s__Aplosporella prunicola	2719.0	jrk00507		plant_pathogen	litter_saprotroph			leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium						
37	Armcep1	Armillaria cepistipes	75,828,441	23,460	published	https://www.ncbi.nlm.nih.gov/pubmed/29085064	47426.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria cepistipes	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Armillaria;s__Armillaria cepistipes	8504.0	jrk00594		litter_saprotroph	plant_pathogen	root_pathogen_some_species,litter_and_wood_saprotroph	root-associated	wood_pathogen	wood,leaf/fruit/seed,roots,soil	white_rot	non-aquatic			filamentous_mycelium	agaricoid	gills				
38	Armga1	Armillaria gallica	85,336,812	25,704	published	https://www.ncbi.nlm.nih.gov/pubmed/29085064	47427.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria gallica	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Armillaria;s__Armillaria gallica	8504.0	jrk00594		litter_saprotroph	plant_pathogen	root_pathogen_some_species,litter_and_wood_saprotroph	root-associated	wood_pathogen	wood,leaf/fruit/seed,roots,soil	white_rot	non-aquatic			filamentous_mycelium	agaricoid	gills				
39	Armme1_1	Armillaria mellea	79,545,241	14,473	published	https://www.ncbi.nlm.nih.gov/pubmed/23656496	47429.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria mellea	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Armillaria;s__Armillaria mellea	8504.0	jrk00594		litter_saprotroph	plant_pathogen	root_pathogen_some_species,litter_and_wood_saprotroph	root-associated	wood_pathogen	wood,leaf/fruit/seed,roots,soil	white_rot	non-aquatic			filamentous_mycelium	agaricoid	gills				
40	Armosto1	Armillaria ostoyae	60,106,801	22,705	published	https://www.ncbi.nlm.nih.gov/pubmed/29085064	47428.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria ostoyae	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Armillaria;s__Armillaria ostoyae	8504.0	jrk00594		litter_saprotroph	plant_pathogen	root_pathogen_some_species,litter_and_wood_saprotroph	root-associated	wood_pathogen	wood,leaf/fruit/seed,roots,soil	white_rot	non-aquatic			filamentous_mycelium	agaricoid	gills				
41	Armost1	Armillaria solidipes	58,009,494	20,811	published	https://www.ncbi.nlm.nih.gov/pubmed/29085064	1076256.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria solidipes	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Armillaria;s__Armillaria solidipes	8504.0	jrk00594		litter_saprotroph	plant_pathogen	root_pathogen_some_species,litter_and_wood_saprotroph	root-associated	wood_pathogen	wood,leaf/fruit/seed,roots,soil	white_rot	non-aquatic			filamentous_mycelium	agaricoid	gills				
42	Artbe1	Arthroderma benhamiae	22,224,160	7,980	published	https://www.ncbi.nlm.nih.gov/pubmed/21247460	63400.0	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton benhamiae	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Arthrodermataceae;g__Trichophyton;s__Trichophyton benhamiae	4511.0	jrk09008		animal_parasite	animal_decomposer		no_endophytic_capacity		animal_material		non-aquatic	animal_parasite		filamentous_mycelium						
43	Artele1122_1	Artolenzites elegans	33,812,861	11,945	published	https://www.ncbi.nlm.nih.gov/pubmed/33538380	526244.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes elegans	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes;s__Trametes elegans	9186.0	jrk08915		wood_saprotroph		wood_pathogen_some_species			wood	white_rot	partly_aquatic			filamentous_mycelium	polyporoid	poroid				
44	Clapy1	Artomyces pyxidatus	37,987,417	15,130	published	https://www.ncbi.nlm.nih.gov/pubmed/34861049	48021.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Artomyces	Artomyces pyxidatus	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Auriscalpiaceae;g__Artomyces;s__Artomyces pyxidatus	9311.0	jrk00634		wood_saprotroph					wood	white_rot	non-aquatic			filamentous_mycelium	clavarioid	smooth				
45	Ascim1	Ascobolus immersus	59,529,874	17,877	published	https://www.ncbi.nlm.nih.gov/pubmed/30420746	5191.0	Eukaryota	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus immersus	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae;g__Ascobolus;s__Ascobolus immersus	6090.0	jrk00645		litter_saprotroph	dung_saprotroph				leaf/fruit/seed,dung		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
46	Ascra1	Ascochyta rabiei	34,658,250	10,596	published	https://www.ncbi.nlm.nih.gov/pubmed/27091329	5454.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta	Ascochyta rabiei	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Ascochyta;s__Ascochyta rabiei	3705.0	jrk00650		plant_pathogen				leaf/fruit/seed_pathogen			partly_aquatic			filamentous_mycelium						
47	Ascsa1	Ascocoryne sarcoides	34,170,264	10,672	published	https://www.ncbi.nlm.nih.gov/pubmed/22396667	139061.0	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Gelatinodiscaceae	Ascocoryne	Ascocoryne sarcoides	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Gelatinodiscaceae;g__Ascocoryne;s__Ascocoryne sarcoides	5734.0	jrk00658		wood_saprotroph					wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
