,jrk_template,phylum,class,order,family,genus,COMMENT on genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
11,jrk00194,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Aleurina,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,contact,/aleurina,,
12,jrk08667,Ascomycota,Pezizomycetes,Pezizales,Tarzettaceae,Tarzetta,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,contact,/tarzetta,,
13,jrk01715,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Choiromyces,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/tuber-helvella,,
14,jrk02657,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Dingleya,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/tuber-helvella,,
15,jrk04414,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Labyrinthomyces,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/tuber-helvella,,
16,jrk05799,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Nothojafnea,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,contact,/tuber-helvella,,
17,jrk07469,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Reddellomyces,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/tuber-helvella,,
18,jrk00264,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/amanita,,
19,jrk04002,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/hygrophorus,,
20,jrk00808,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Auritella,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/inocybe,,
21,jrk01852,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,contact,/clavulina,,
22,jrk05069,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Membranomyces,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,contact,/clavulina,,
23,jrk09640,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Arcangeliella,synonym of Lactarius,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/russula-lactarius,,
24,jrk02331,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Cystangium,synonym of Russula,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/russula-lactarius,,
25,jrk03598,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Gymnomyces,synonym of Russula,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/russula-lactarius,,
26,jrk04847,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Macowanites,synonym of Russula,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/russula-lactarius,,
27,jrk09641,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Martellia,synonym of Russula,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/russula-lactarius,,
28,jrk07726,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,
29,jrk08588,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Zelleromyces,synonym of Lactarius,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/russula-lactarius,,
30,jrk03780,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Helvellosebacina,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,contact,/sebacina,,
31,extra taxons by annotators Vizzini Alfredo,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Phylloporopsis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,
32,jrk00146,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Afroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
33,jrk00147,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Afrocastellanoa,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
34,jrk00192,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Alessioporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
35,jrk00799,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Aureoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
36,jrk00815,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Australopilus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
37,jrk00822,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Austroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
38,jrk00914,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Baorangia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
39,jrk01034,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Binderoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
40,jrk01091,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
41,jrk01093,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletochaete,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
42,jrk01095,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
43,jrk01115,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Borofutus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
44,jrk01117,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Bothia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
45,jrk01266,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Butyriboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
46,jrk01322,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
47,extra taxons by Matthew Smith,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Carolinigaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
48,jrk01463,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Castellanea,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
49,jrk01662,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chamonixia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
50,jrk01695,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chiua,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
51,jrk02072,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Corneroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
52,jrk02120,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Costatisporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
53,jrk02161,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Crocinoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
54,jrk09597,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Cupreoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,
55,jrk02269,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Cyanoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
56,jrk02796,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Durianella,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
57,extra taxons by annotators Vizzini Alfredo,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Erythrophylloporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,
58,jrk03114,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Exsudoporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
59,jrk03189,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Fistulinella,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
60,jrk03338,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Gastroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,
61,jrk03339,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Gastroleccinum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,
62,jrk09598,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Gastrosuillus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/suillus-rhizopogon,,
63,jrk03582,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Guyanaporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
64,jrk03594,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Gymnogaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,
65,jrk03711,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Harrya,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
66,jrk09599,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Heimiella,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,
67,jrk03726,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Heimioporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
68,jrk03764,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Heliogaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
69,jrk03788,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hemileccinum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
70,jrk03924,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
71,jrk03927,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hourangia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
72,jrk04009,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hymenoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
73,jrk04114,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
74,jrk04121,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imperator,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
75,jrk04234,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Jimtrappea,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
76,jrk04356,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Kombocles,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
77,jrk04461,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Lanmaoa,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
78,jrk04526,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinellum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
79,jrk04527,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
80,jrk09596,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Mackintoshia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,
81,jrk05308,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Mucilopilus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
82,jrk05365,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Mycoamaranthus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,
83,jrk05579,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
84,jrk09600,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Nigroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,
85,jrk05859,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Octaviania,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
86,jrk06224,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Parvixerocomus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
87,jrk06252,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Paxillogaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,
88,jrk06567,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Phylloboletellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,
89,jrk06579,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Phylloporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/boletus,,
90,jrk06905,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Porphyrellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
91,jrk07016,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pseudoaustroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
92,jrk07024,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pseudoboletus,,ectomycorrhizal,mycoparasite,,,,,,non-aquatic,,Scleroderma,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
93,jrk07300,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pulchroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
94,jrk07305,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pulveroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
95,jrk07504,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Retiboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
96,jrk07529,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rheubarbariboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
97,jrk07574,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rhodactina,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
98,jrk07691,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rossbeevera,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
99,jrk07708,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Royoungia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
100,jrk07712,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rubinoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
101,jrk07713,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rubroboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
102,jrk07717,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rugiboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
103,jrk08018,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Setogyroporus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
104,jrk08069,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Singerocomus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
105,jrk08071,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Singeromyces,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
106,jrk08072,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Sinoboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
107,jrk08139,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Solioccasus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
108,jrk08258,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Spongiforma,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/boletus,,
109,jrk08461,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
110,jrk08509,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
111,jrk08522,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Sutorius,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
112,jrk08583,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Zangia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
113,jrk08693,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tengioboletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
114,jrk08924,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Trappeindia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/boletus,,
115,jrk09104,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tubosaeta,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
116,jrk09121,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Turmalinea,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
117,jrk09124,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylocinum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
118,jrk09128,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
119,jrk09267,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Veloporphyrellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
120,jrk09395,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xanthoconium,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
121,jrk09461,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
122,jrk09462,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,long-distance,/boletus,,
123,jrk01340,Basidiomycota,Agaricomycetes,Boletales,Calostomataceae,Calostoma,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/pisolithus-scleroderma,,
124,jrk00736,Basidiomycota,Agaricomycetes,Boletales,Diplocystidiaceae,Astraeus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/pisolithus-scleroderma,,
125,jrk02672,Basidiomycota,Agaricomycetes,Boletales,Diplocystidiaceae,Diplocystis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/pisolithus-scleroderma,,
126,jrk02918,Basidiomycota,Agaricomycetes,Boletales,Diplocystidiaceae,Endogonopsis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/pisolithus-scleroderma,,
127,jrk08940,Basidiomycota,Agaricomycetes,Boletales,Diplocystidiaceae,Tremellogaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/pisolithus-scleroderma,,
